locus_tag	ftype	length_bp	gene	EC_number	COG	product
NOLKDBPD_01536	CDS	324	iscA		COG0316	Iron-binding protein IscA
NOLKDBPD_01537	CDS	516	hscB		COG1076	Co-chaperone protein HscB
NOLKDBPD_01538	CDS	525				hypothetical protein
NOLKDBPD_01539	CDS	507	mobB		COG1763	Molybdopterin-guanine dinucleotide biosynthesis adapter protein
NOLKDBPD_01540	CDS	582	mobA	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
NOLKDBPD_01541	CDS	270	yihD		COG3084	Protein YihD
NOLKDBPD_01542	CDS	987	srkA	2.7.11.1	COG2334	Stress response kinase A
NOLKDBPD_01543	CDS	624	dsbA_2		COG0526	Thiol:disulfide interchange protein DsbA
NOLKDBPD_01544	CDS	900	yihG	2.3.-.-	COG0204	putative acyltransferase YihG
NOLKDBPD_01545	CDS	2793	polA	2.7.7.7	COG0258	DNA polymerase I
NOLKDBPD_01546	CDS	633	engB		COG0218	putative GTP-binding protein EngB
NOLKDBPD_01547	CDS	507	yihI		COG3078	Der GTPase-activating protein YihI
NOLKDBPD_01548	CDS	1374	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
NOLKDBPD_01549	CDS	111	yshB			putative protein YshB
NOLKDBPD_01550	CDS	1410	ntrC		COG2204	DNA-binding transcriptional regulator NtrC
NOLKDBPD_01551	CDS	1050	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
NOLKDBPD_01552	CDS	1410	glnA	6.3.1.2	COG0174	Glutamine synthetase
NOLKDBPD_01553	CDS	1824	typA		COG1217	GTP-binding protein TypA/BipA
NOLKDBPD_01554	CDS	600	yihX	3.1.3.10	COG1011	Alpha-D-glucose 1-phosphate phosphatase YihX
NOLKDBPD_01555	CDS	861				hypothetical protein
NOLKDBPD_01556	CDS	438	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
NOLKDBPD_01557	CDS	942				hypothetical protein
NOLKDBPD_01558	CDS	918	nlhH	3.1.1.1	COG0657	Carboxylesterase NlhH
NOLKDBPD_01559	CDS	249				hypothetical protein
NOLKDBPD_01560	CDS	384	vapC_1	3.1.-.-		tRNA(fMet)-specific endonuclease VapC
NOLKDBPD_01561	CDS	930	fdhE		COG3058	Protein FdhE
NOLKDBPD_01562	CDS	636	fdoI		COG2864	Formate dehydrogenase, cytochrome b556(fdo) subunit
NOLKDBPD_01563	CDS	903	fdoH		COG0437	Formate dehydrogenase-O iron-sulfur subunit
NOLKDBPD_01564	CDS	2415	fdoG_1	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
NOLKDBPD_01565	CDS	588	fdoG_2	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
NOLKDBPD_01566	CDS	837	fdhD		COG1526	Sulfur carrier protein FdhD
NOLKDBPD_01567	CDS	213				hypothetical protein
NOLKDBPD_01568	CDS	324				hypothetical protein
NOLKDBPD_01569	CDS	702				hypothetical protein
NOLKDBPD_01570	CDS	549	sutR_1		COG1396	HTH-type transcriptional regulator SutR
NOLKDBPD_01571	CDS	996	rafR			HTH-type transcriptional regulator RafR
NOLKDBPD_01572	CDS	459	rafA_1	3.2.1.22		Alpha-galactosidase
NOLKDBPD_01573	CDS	1656	rafA_2	3.2.1.22		Alpha-galactosidase
NOLKDBPD_01574	CDS	1266	melY			Melibiose permease
NOLKDBPD_01575	CDS	315	rhaM	5.1.3.32	COG3254	L-rhamnose mutarotase
NOLKDBPD_01576	CDS	1149	adhB	1.1.1.1		Alcohol dehydrogenase 2
NOLKDBPD_01577	CDS	1005	lsrD_2			Autoinducer 2 import system permease protein LsrD
NOLKDBPD_01578	CDS	1008	rbsC_2		COG1172	Ribose import permease protein RbsC
NOLKDBPD_01579	CDS	1512	rbsA_2	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
NOLKDBPD_01580	CDS	987	lsrB_2			Autoinducer 2-binding protein LsrB
NOLKDBPD_01581	CDS	831	rhaD	4.1.2.19	COG0235	Rhamnulose-1-phosphate aldolase
NOLKDBPD_01582	CDS	1260	rhaA	5.3.1.14	COG4806	L-rhamnose isomerase
NOLKDBPD_01583	CDS	1467	rhaB	2.7.1.5	COG1070	L-Rhamnulokinase
NOLKDBPD_01584	CDS	837	rhaS_3			HTH-type transcriptional activator RhaS
NOLKDBPD_01585	CDS	846	rhaR_2			HTH-type transcriptional activator RhaR
NOLKDBPD_01586	CDS	1035	rhaT		COG0697	L-rhamnose-proton symporter
NOLKDBPD_01587	CDS	621	sodA	1.15.1.1	COG0605	Superoxide dismutase [Mn]
NOLKDBPD_01588	CDS	675	yiiM		COG2258	Protein YiiM
NOLKDBPD_01589	CDS	1374	cpxA	2.7.13.3		Sensor histidine kinase CpxA
NOLKDBPD_01590	CDS	699	cpxR		COG0745	Transcriptional regulatory protein CpxR
NOLKDBPD_01591	CDS	504	cpxP		COG3678	Periplasmic protein CpxP
NOLKDBPD_01592	CDS	903	fieF		COG0053	Ferrous-iron efflux pump FieF
NOLKDBPD_01593	CDS	963	pfkA	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase isozyme 1
NOLKDBPD_01594	CDS	486	rraA		COG0684	Regulator of ribonuclease activity A
NOLKDBPD_01595	CDS	921	menA	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
NOLKDBPD_01596	CDS	1335	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
NOLKDBPD_01597	CDS	531	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
NOLKDBPD_01598	CDS	855	ftsN		COG3087	Cell division protein FtsN
NOLKDBPD_01599	CDS	1029	cytR_1		COG1609	HTH-type transcriptional repressor CytR
NOLKDBPD_01600	CDS	2196	priA	3.6.4.-	COG1198	Primosomal protein N'
NOLKDBPD_01601	CDS	213	rpmE		COG0254	50S ribosomal protein L31
NOLKDBPD_01602	CDS	318	metJ		COG3060	Met repressor
NOLKDBPD_01603	CDS	1161	metB	2.5.1.48	COG0626	Cystathionine gamma-synthase
NOLKDBPD_01604	CDS	2433	metL		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 2
NOLKDBPD_01605	CDS	1137				hypothetical protein
NOLKDBPD_01606	CDS	1557	yfkN		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
NOLKDBPD_01607	CDS	372				hypothetical protein
NOLKDBPD_01608	CDS	909	catM_1			HTH-type transcriptional regulator CatM
NOLKDBPD_01609	CDS	888	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
NOLKDBPD_01610	CDS	882	yijE			putative cystine transporter YijE
NOLKDBPD_01611	CDS	1104	gldA	1.1.1.6	COG0371	Glycerol dehydrogenase
NOLKDBPD_01612	CDS	663	fsaB	4.1.2.-	COG0176	Fructose-6-phosphate aldolase 2
NOLKDBPD_01613	CDS	987	rhaS_4			HTH-type transcriptional activator RhaS
NOLKDBPD_01614	CDS	651	zinT		COG3443	Metal-binding protein ZinT
NOLKDBPD_01615	CDS	2652	ppc	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
NOLKDBPD_01616	CDS	1152	argE	3.5.1.16	COG0624	Acetylornithine deacetylase
NOLKDBPD_01617	CDS	1005	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
NOLKDBPD_01618	CDS	774	argB	2.7.2.8	COG0548	Acetylglutamate kinase
NOLKDBPD_01619	CDS	1374	argH_1	4.3.2.1	COG0165	Argininosuccinate lyase
NOLKDBPD_01620	CDS	918	oxyR_2			Hydrogen peroxide-inducible genes activator
NOLKDBPD_01621	CDS	1401	sthA	1.6.1.1	COG1249	Soluble pyridine nucleotide transhydrogenase
NOLKDBPD_01622	CDS	636	fabR		COG1309	HTH-type transcriptional repressor FabR
NOLKDBPD_01623	CDS	360	yijD			Inner membrane protein YijD
NOLKDBPD_01624	CDS	1101	trmA	2.1.1.-	COG2265	tRNA/tmRNA (uracil-C(5))-methyltransferase
NOLKDBPD_01625	CDS	1839	btuB		COG4206	Vitamin B12 transporter BtuB
NOLKDBPD_01626	CDS	852	murI	5.1.1.3	COG0796	Glutamate racemase
NOLKDBPD_01627	rRNA	448				16S ribosomal RNA (partial)
NOLKDBPD_01628	CDS	1122	roxA_1	1.14.11.47	COG2850	50S ribosomal protein L16 3-hydroxylase
NOLKDBPD_01629	CDS	534				hypothetical protein
NOLKDBPD_01630	CDS	267				hypothetical protein
NOLKDBPD_01631	CDS	1434	cusS	2.7.13.3	COG0642	Sensor histidine kinase CusS
NOLKDBPD_01632	CDS	684	cusR		COG0745	Transcriptional regulatory protein CusR
NOLKDBPD_01633	CDS	1386	cusC_1		COG1538	Cation efflux system protein CusC
NOLKDBPD_01634	CDS	348	cusF		COG5569	Cation efflux system protein CusF
NOLKDBPD_01635	CDS	1263	cusB			Cation efflux system protein CusB
NOLKDBPD_01636	CDS	3150	cusA		COG3696	Cation efflux system protein CusA
NOLKDBPD_01637	CDS	348				hypothetical protein
NOLKDBPD_01638	CDS	534	blc_2		COG3040	Outer membrane lipoprotein Blc
NOLKDBPD_01639	CDS	729	mlrA		COG0789	HTH-type transcriptional regulator MlrA
NOLKDBPD_01640	CDS	435				hypothetical protein
NOLKDBPD_01641	CDS	720				hypothetical protein
NOLKDBPD_01642	CDS	1260				hypothetical protein
NOLKDBPD_01643	CDS	723				hypothetical protein
NOLKDBPD_01644	CDS	1221	ufaA1	2.1.1.-	COG2230	Tuberculostearic acid methyltransferase UfaA1
NOLKDBPD_01645	CDS	486				hypothetical protein
NOLKDBPD_01646	CDS	525				hypothetical protein
NOLKDBPD_01647	CDS	558				hypothetical protein
NOLKDBPD_01648	CDS	960				hypothetical protein
NOLKDBPD_01649	CDS	1200	lamB_3		COG4580	Maltoporin
NOLKDBPD_01650	CDS	1047				hypothetical protein
NOLKDBPD_01651	CDS	735	cysH_1	1.8.4.8	COG0175	Phosphoadenosine phosphosulfate reductase
NOLKDBPD_01652	CDS	1713	cysI	1.8.1.2	COG0155	Sulfite reductase [NADPH] hemoprotein beta-component
NOLKDBPD_01653	CDS	1800	cysJ	1.8.1.2	COG0369	Sulfite reductase [NADPH] flavoprotein alpha-component
NOLKDBPD_01654	CDS	366	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
NOLKDBPD_01655	CDS	672	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
NOLKDBPD_01656	CDS	1110				hypothetical protein
NOLKDBPD_01657	CDS	1299	eno	4.2.1.11	COG0148	Enolase
NOLKDBPD_01658	CDS	1638	pyrG_1	6.3.4.2	COG0504	CTP synthase
NOLKDBPD_01659	CDS	891	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
NOLKDBPD_01660	CDS	2238	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
NOLKDBPD_01661	CDS	1305	rlmD	2.1.1.190	COG2265	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
NOLKDBPD_01662	CDS	2751	barA	2.7.13.3	COG0784	Signal transduction histidine-protein kinase BarA
NOLKDBPD_01663	CDS	1140	garK_2	2.7.1.165	COG1929	Glycerate 2-kinase
NOLKDBPD_01664	CDS	1341	gudD	4.2.1.40	COG4948	Glucarate dehydratase
NOLKDBPD_01665	CDS	1341	gudX	4.2.1.-	COG4948	Glucarate dehydratase-related protein
NOLKDBPD_01666	CDS	1353	gudP_1			putative glucarate transporter
NOLKDBPD_01667	CDS	444			COG0716	putative protein
NOLKDBPD_01668	CDS	795	truC	5.4.99.26	COG0564	tRNA pseudouridine synthase C
NOLKDBPD_01669	CDS	330	yqcC		COG3098	putative protein YqcC
NOLKDBPD_01670	CDS	546	syd			Protein Syd
NOLKDBPD_01671	CDS	846	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
NOLKDBPD_01672	CDS	1368	ppnN	3.2.2.-	COG1611	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase
NOLKDBPD_01673	CDS	1290	sdaC_2		COG0814	Serine transporter
NOLKDBPD_01674	CDS	1368	sdaB	4.3.1.17	COG1760	L-serine dehydratase 2
NOLKDBPD_01675	CDS	942	ssuA_2			Putative aliphatic sulfonates-binding protein
NOLKDBPD_01676	CDS	1224	soxC			Dibenzothiophene desulfurization enzyme C
NOLKDBPD_01677	CDS	1422	ygcS			Inner membrane metabolite transport protein YgcS
NOLKDBPD_01678	CDS	879				hypothetical protein
NOLKDBPD_01679	CDS	684	metI_1		COG2011	D-methionine transport system permease protein MetI
NOLKDBPD_01680	CDS	1023	metN_1	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
NOLKDBPD_01681	CDS	1407	dmoA	1.14.13.131		Dimethyl-sulfide monooxygenase
NOLKDBPD_01682	CDS	1398				hypothetical protein
NOLKDBPD_01683	CDS	1173	msuD_1	1.14.14.5	COG2141	Methanesulfonate monooxygenase
NOLKDBPD_01684	CDS	1944	norR_2			Anaerobic nitric oxide reductase transcription regulator NorR
NOLKDBPD_01685	CDS	756	ygdG	3.1.-.-	COG0258	Flap endonuclease Xni
NOLKDBPD_01686	CDS	1149	fucO	1.1.1.77	COG1454	Lactaldehyde reductase
NOLKDBPD_01687	CDS	648	fucA	4.1.2.17	COG0235	L-fuculose phosphate aldolase
NOLKDBPD_01688	CDS	1311	fucP		COG0738	L-fucose-proton symporter
NOLKDBPD_01689	CDS	1776	fucI	5.3.1.25	COG2407	L-fucose isomerase
NOLKDBPD_01690	CDS	1419	fucK	2.7.1.51	COG1070	L-fuculokinase
NOLKDBPD_01691	CDS	423	fucU	5.1.3.29	COG4154	L-fucose mutarotase
NOLKDBPD_01692	CDS	711	ydjF		COG1349	putative HTH-type transcriptional regulator YdjF
NOLKDBPD_01693	CDS	1101	rlmM	2.1.1.186	COG2933	Ribosomal RNA large subunit methyltransferase M
NOLKDBPD_01694	CDS	396				hypothetical protein
NOLKDBPD_01695	CDS	825	gcvA_1			Glycine cleavage system transcriptional activator
NOLKDBPD_01696	CDS	231	ygdR_1			putative lipoprotein YgdR
NOLKDBPD_01697	CDS	1206	csdA	2.8.1.7	COG0520	Cysteine desulfurase CsdA
NOLKDBPD_01698	CDS	432	csdE		COG2166	Sulfur acceptor protein CsdE
NOLKDBPD_01699	CDS	822	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
NOLKDBPD_01700	CDS	1098	mltA	4.2.2.-	COG2821	Membrane-bound lytic murein transglycosylase A
NOLKDBPD_01701	tRNA	77				tRNA-Met(cat)
NOLKDBPD_01702	tRNA	77				tRNA-Met(cat)
NOLKDBPD_01703	CDS	1341				hypothetical protein
NOLKDBPD_01704	CDS	666				hypothetical protein
NOLKDBPD_01705	CDS	1704	ompA_4			Outer membrane protein A
NOLKDBPD_01706	CDS	2391				hypothetical protein
NOLKDBPD_01707	CDS	1782				hypothetical protein
NOLKDBPD_01708	CDS	1104				hypothetical protein
NOLKDBPD_01709	CDS	1149				hypothetical protein
NOLKDBPD_01710	CDS	3336				hypothetical protein
NOLKDBPD_01711	CDS	1761				hypothetical protein
NOLKDBPD_01712	CDS	1083				hypothetical protein
NOLKDBPD_01713	CDS	534				hypothetical protein
NOLKDBPD_01714	CDS	426				hypothetical protein
NOLKDBPD_01715	CDS	1056	cobT_1	2.4.2.21	COG2038	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
NOLKDBPD_01716	CDS	546	cobU	2.7.1.156	COG2087	Bifunctional adenosylcobalamin biosynthesis protein CobU
NOLKDBPD_01717	CDS	1524	cobQ			Cobyric acid synthase
NOLKDBPD_01718	CDS	825	cbiO	7.-.-.-	COG1122	Cobalt import ATP-binding protein CbiO
NOLKDBPD_01719	CDS	678	cbiQ		COG0619	Cobalt transport protein CbiQ
NOLKDBPD_01720	CDS	282	cbiN		COG1930	Cobalt transport protein CbiN
NOLKDBPD_01721	CDS	738	cbiM		COG0310	Cobalt transport protein CbiM
NOLKDBPD_01722	CDS	711	cbiL	2.1.1.151	COG2243	Cobalt-precorrin-2 C(20)-methyltransferase
NOLKDBPD_01723	CDS	795	cbiK	4.99.1.3	COG4822	Sirohydrochlorin cobaltochelatase
NOLKDBPD_01724	CDS	786	cbiJ	1.3.1.106	COG2099	Cobalt-precorrin-6A reductase
NOLKDBPD_01725	CDS	726	cbiH	2.1.1.-	COG1010	putative cobalt-factor III C(17)-methyltransferase
NOLKDBPD_01726	CDS	1056	cbiG	3.7.1.12	COG2073	Cobalt-precorrin-5A hydrolase
NOLKDBPD_01727	CDS	774	cbiF	2.1.1.271	COG2875	Cobalt-precorrin-4 C(11)-methyltransferase
NOLKDBPD_01728	CDS	570	cbiT	2.1.1.196	COG2242	Cobalt-precorrin-6B C(15)-methyltransferase (decarboxylating)
NOLKDBPD_01729	CDS	606	cbiE	2.1.1.289	COG2241	Cobalt-precorrin-7 C(5)-methyltransferase
NOLKDBPD_01730	CDS	1140	cbiD	2.1.1.195	COG1903	Cobalt-precorrin-5B C(1)-methyltransferase
NOLKDBPD_01731	CDS	636	cbiC	5.4.99.60	COG2082	Cobalt-precorrin-8 methylmutase
NOLKDBPD_01732	CDS	960	cobD_1		COG1270	Cobalamin biosynthesis protein CobD
NOLKDBPD_01733	CDS	1377	cbiA	6.3.5.11	COG1797	Cobyrinate a,c-diamide synthase
NOLKDBPD_01734	CDS	912	rhaS_5			HTH-type transcriptional activator RhaS
NOLKDBPD_01735	CDS	810	pduF		COG0580	Propanediol diffusion facilitator
NOLKDBPD_01736	CDS	285	pduA_1		COG4577	Propanediol utilization protein PduA
NOLKDBPD_01737	CDS	813	pduB		COG4816	Propanediol utilization protein PduB
NOLKDBPD_01738	CDS	1665	pduC	4.2.1.28	COG4909	Propanediol dehydratase large subunit
NOLKDBPD_01739	CDS	690	pduD_2	4.2.1.28		Propanediol dehydratase medium subunit
NOLKDBPD_01740	CDS	525	pduE_2	4.2.1.28	COG4910	Propanediol dehydratase small subunit
NOLKDBPD_01741	CDS	1833	ddrA_2			Diol dehydratase-reactivating factor alpha subunit
NOLKDBPD_01742	CDS	351				hypothetical protein
NOLKDBPD_01743	CDS	276	pduA_2		COG4577	Propanediol utilization protein PduA
NOLKDBPD_01744	CDS	447				hypothetical protein
NOLKDBPD_01745	CDS	633	pduL	2.3.1.222	COG4869	Phosphate propanoyltransferase
NOLKDBPD_01746	CDS	492				hypothetical protein
NOLKDBPD_01747	CDS	276	ccmL			Carbon dioxide concentrating mechanism protein CcmL
NOLKDBPD_01748	CDS	1017				hypothetical protein
NOLKDBPD_01749	CDS	1389	astD_1	1.2.1.71		N-succinylglutamate 5-semialdehyde dehydrogenase
NOLKDBPD_01750	CDS	1113	adhE_1		COG1012	Aldehyde-alcohol dehydrogenase
NOLKDBPD_01751	CDS	1353	rsxC_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit C
NOLKDBPD_01752	CDS	555				hypothetical protein
NOLKDBPD_01753	CDS	351	pduU		COG4810	Propanediol utilization protein PduU
NOLKDBPD_01754	CDS	441	pduV		COG4917	Propanediol utilization protein PduV
NOLKDBPD_01755	CDS	1215	pduW	2.7.2.15	COG0282	putative propionate kinase
NOLKDBPD_01756	CDS	1077	cobD_2	4.1.1.81	COG0079	Threonine-phosphate decarboxylase
NOLKDBPD_01757	CDS	1254	amiC_2	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
NOLKDBPD_01758	CDS	1332	argA	2.3.1.1	COG0548	Amino-acid acetyltransferase
NOLKDBPD_01759	CDS	321				hypothetical protein
NOLKDBPD_01760	CDS	1845	recD	3.1.11.5	COG0507	RecBCD enzyme subunit RecD
NOLKDBPD_01761	CDS	3516	recB	3.1.11.5	COG1074	RecBCD enzyme subunit RecB
NOLKDBPD_01762	CDS	2886	ptrA	3.4.24.55	COG1025	Protease 3
NOLKDBPD_01763	CDS	3378	recC	3.1.11.5	COG1330	RecBCD enzyme subunit RecC
NOLKDBPD_01764	CDS	324				hypothetical protein
NOLKDBPD_01765	CDS	408				hypothetical protein
NOLKDBPD_01766	CDS	558				hypothetical protein
NOLKDBPD_01767	CDS	552				hypothetical protein
NOLKDBPD_01768	CDS	795	thyA	2.1.1.45	COG0207	Thymidylate synthase
NOLKDBPD_01769	CDS	876	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
NOLKDBPD_01770	CDS	2247	ptsP	2.7.3.9	COG3605	Phosphoenolpyruvate-dependent phosphotransferase system
NOLKDBPD_01771	CDS	531	rppH_1	3.6.1.-	COG0494	RNA pyrophosphohydrolase
NOLKDBPD_01772	CDS	696	mutH		COG3066	DNA mismatch repair protein MutH
NOLKDBPD_01773	CDS	714				hypothetical protein
NOLKDBPD_01774	CDS	219	ygdR_2			putative lipoprotein YgdR
NOLKDBPD_01775	CDS	1041	tas		COG0667	Protein tas
NOLKDBPD_01776	CDS	1194	lplT			Lysophospholipid transporter LplT
NOLKDBPD_01777	CDS	2160	aas		COG0204	Bifunctional protein Aas
NOLKDBPD_01778	CDS	1017	galR_2		COG1609	HTH-type transcriptional regulator GalR
NOLKDBPD_01779	CDS	480				hypothetical protein
NOLKDBPD_01780	CDS	774	lldR_2		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
NOLKDBPD_01781	CDS	1428	gmuD_2	3.2.1.86	COG2723	6-phospho-beta-glucosidase GmuD
NOLKDBPD_01782	CDS	1338	licC_4		COG1455	Lichenan permease IIC component
NOLKDBPD_01783	CDS	1011	ascG_2		COG1609	HTH-type transcriptional regulator AscG
NOLKDBPD_01784	CDS	1263	lysA	4.1.1.20		Diaminopimelate decarboxylase
NOLKDBPD_01785	CDS	927	occR			Octopine catabolism/uptake operon regulatory protein OccR
NOLKDBPD_01786	CDS	714	ygeA	5.1.1.13		L-aspartate/glutamate-specific racemase
NOLKDBPD_01787	CDS	327				hypothetical protein
NOLKDBPD_01788	CDS	891	lacF			Lactose transport system permease protein LacF
NOLKDBPD_01789	CDS	723	ngcG		COG0395	Diacetylchitobiose uptake system permease protein NgcG
NOLKDBPD_01790	CDS	144				hypothetical protein
NOLKDBPD_01791	CDS	1128	msiK_1	7.5.2.-	COG3839	Diacetylchitobiose uptake system ATP-binding protein MsiK
NOLKDBPD_01792	CDS	1287	yesO		COG1653	Putative ABC transporter substrate-binding protein YesO
NOLKDBPD_01793	CDS	1344				hypothetical protein
NOLKDBPD_01794	CDS	1437	sacA	3.2.1.26		Sucrose-6-phosphate hydrolase
NOLKDBPD_01795	CDS	1242	cscB			Sucrose permease
NOLKDBPD_01796	CDS	996	ccpA_2		COG1609	Catabolite control protein A
NOLKDBPD_01797	CDS	1422	araE			Arabinose-proton symporter
NOLKDBPD_01798	CDS	762	kduD_1	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
NOLKDBPD_01799	CDS	1176	ogl	4.2.2.6	COG0823	Oligogalacturonate lyase
NOLKDBPD_01800	CDS	696	kdgM			Oligogalacturonate-specific porin KdgM
NOLKDBPD_01801	CDS	1179	thlA_1	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
NOLKDBPD_01802	CDS	870	gltC_1			HTH-type transcriptional regulator GltC
NOLKDBPD_01803	CDS	462				hypothetical protein
NOLKDBPD_01804	CDS	1230	yqeG		COG0814	Inner membrane transport protein YqeG
NOLKDBPD_01805	CDS	879	pdxI	1.1.1.65		Pyridoxine 4-dehydrogenase
NOLKDBPD_01806	CDS	705	ycgR			Flagellar brake protein YcgR
NOLKDBPD_01807	CDS	573				hypothetical protein
NOLKDBPD_01808	CDS	717	pdeH_1	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeH
NOLKDBPD_01809	CDS	636				hypothetical protein
NOLKDBPD_01810	CDS	996	mrkD_1			Fimbria adhesin protein
NOLKDBPD_01811	CDS	2487	htrE		COG3188	Outer membrane usher protein HtrE
NOLKDBPD_01812	CDS	702	yadV_2			putative fimbrial chaperone YadV
NOLKDBPD_01813	CDS	609				hypothetical protein
NOLKDBPD_01814	CDS	210				hypothetical protein
NOLKDBPD_01815	CDS	897				hypothetical protein
NOLKDBPD_01816	CDS	507				hypothetical protein
NOLKDBPD_01817	CDS	957				hypothetical protein
NOLKDBPD_01818	CDS	606				ISKra4 family transposase ISCep1
NOLKDBPD_01819	CDS	609				ISKra4 family transposase ISCep1
NOLKDBPD_01820	CDS	549	fim_2			Fimbrial subunit type 1
NOLKDBPD_01821	CDS	537	lpfA_2			putative major fimbrial subunit LpfA
NOLKDBPD_01822	CDS	705	fimC_3			Chaperone protein FimC
NOLKDBPD_01823	CDS	2613	fimD_7		COG3188	Outer membrane usher protein FimD
NOLKDBPD_01824	CDS	528	fimF_2			Protein FimF
NOLKDBPD_01825	CDS	501	fimG_2			Protein FimG
NOLKDBPD_01826	CDS	909	fimH_2			Type 1 fimbrin D-mannose specific adhesin
NOLKDBPD_01827	CDS	1413				hypothetical protein
NOLKDBPD_01828	CDS	273	yjdJ		COG2388	putative protein YjdJ
NOLKDBPD_01829	CDS	231				hypothetical protein
NOLKDBPD_01830	CDS	273				hypothetical protein
NOLKDBPD_01831	CDS	1026	mdtN		COG1566	Multidrug resistance protein MdtN
NOLKDBPD_01832	CDS	1938	mdtO		COG1289	Multidrug resistance protein MdtO
NOLKDBPD_01833	CDS	1449	cusC_2		COG1538	Cation efflux system protein CusC
NOLKDBPD_01834	CDS	300				hypothetical protein
NOLKDBPD_01835	CDS	1554	dtpT		COG3104	Di-/tripeptide transporter
NOLKDBPD_01836	CDS	423	arsC	1.20.4.1		Arsenate reductase
NOLKDBPD_01837	CDS	1293	arsB		COG1055	Arsenical pump membrane protein
NOLKDBPD_01838	CDS	330				hypothetical protein
NOLKDBPD_01839	CDS	294				hypothetical protein
NOLKDBPD_01840	CDS	573				hypothetical protein
NOLKDBPD_01841	CDS	276				hypothetical protein
NOLKDBPD_01842	CDS	900	pgrR_2			HTH-type transcriptional regulator PgrR
NOLKDBPD_01843	CDS	309				hypothetical protein
NOLKDBPD_01844	CDS	558	kefF_1	1.6.5.2		Glutathione-regulated potassium-efflux system ancillary protein KefF
NOLKDBPD_01845	CDS	1020	yajO_2	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
NOLKDBPD_01846	CDS	804				hypothetical protein
NOLKDBPD_01847	CDS	930	nodD2_1			Nodulation protein D 2
NOLKDBPD_01848	CDS	1389	ribZ_2			Riboflavin transporter RibZ
NOLKDBPD_01849	tRNA	74				tRNA-Gly(ccc)
NOLKDBPD_01850	CDS	714	nlpD_2		COG0739	Murein hydrolase activator NlpD
NOLKDBPD_01851	CDS	900	catM_2			HTH-type transcriptional regulator CatM
NOLKDBPD_01852	CDS	1494	lpdC_1	4.1.1.59	COG0043	Gallate decarboxylase
NOLKDBPD_01853	CDS	579	ubiX_1	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
NOLKDBPD_01854	CDS	717	ydfK_1		COG1811	putative membrane protein YdfK
NOLKDBPD_01855	CDS	555	idi	5.3.3.2	COG1443	Isopentenyl-diphosphate Delta-isomerase
NOLKDBPD_01856	CDS	1518	lysS	6.1.1.6	COG1190	Lysine--tRNA ligase
NOLKDBPD_01857	CDS	963	prfB		COG1186	Peptide chain release factor RF2
NOLKDBPD_01858	CDS	1734	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
NOLKDBPD_01859	CDS	714	dsbC		COG1651	Thiol:disulfide interchange protein DsbC
NOLKDBPD_01860	CDS	897	xerD_1		COG4974	Tyrosine recombinase XerD
NOLKDBPD_01861	CDS	522	fldB		COG0716	Flavodoxin 2
NOLKDBPD_01862	CDS	411	ygfX			Inner membrane protein YgfX
NOLKDBPD_01863	CDS	267	sdhE		COG2938	FAD assembly factor SdhE
